8566x,,,
,,,
Pin,Name,Type,Side
25,GND,gnd,right
24,GND,gnd,right
23,LDSR,bidir,right
22,HSWP,out,right
21,KC7,pass,right
20,KC5,pass,right
19,KC3,pass,right
18,KC1,pass,right
17,KR11,pass,right
16,KR9,pass,right
15,NC,nc,right
14,NC,nc,right
13,ADR3,in,right
12,ADR1,in,right
11,HPON,un,right
10,LADR,un,right
9,IOB15,bidir,right
8,IOB13,bidir,right
7,IOB11,bidir,right
6,IOB9,bidir,right
5,IOB7,bidir,right
4,IOB5,bidir,right
3,IOB3,bidir,right
2,IOB1,bidir,right
1,NC,nc,right
26,GND,gnd,left
27,IOB0,bidir,left
28,IOB2,bidir,left
29,IOB4,bidir,left
30,IOB6,bidir,left
31,IOB8,bidir,left
32,IOB10,bidir,left
33,IOB12,bidir,left
34,IOB14,bidir,left
35,NC,nc,left
36,NC,nc,left
37,ADR0,in,left
38,ADR2,in,left
39,ADR4,in,left
40,NC,nc,left
41,KR8,pass,left
42,KR10,pass,left
43,KC0,pass,left
44,KC2,pass,left
45,KC4,pass,left
46,KC6,pass,left
47,NC,nc,left
48,LSRQ,un,left
49,LBIO,un,left
50,LTIO,in,left
